"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","n_pre","n_post","p_value"
"Adilabad","epi",0,0,0,0,0,0,13,13,NA
"Adilabad","hrt",0.8,0.4,8.3,1,0,10,12,12,NA
"Adilabad","jau",0.1,0.3,0.8,1,0,10,13,13,NA
"Adilabad","lscs",1.8,0.6,18.3,2,0,20,12,12,NA
"Adilabad","sob",0,0,0,0,0,0,16,16,NA
"Adilabad","tb",1.7,0.6,16.7,1.9,0.3,19.3,15,15,0.103814
"Bhadradri Kothagudem","epi",0,0,0,0,0,0,16,16,NA
"Bhadradri Kothagudem","hrt",0.5,0.5,4.7,0.9,0.4,8.7,15,15,0.008564
"Bhadradri Kothagudem","jau",0.1,0.3,1.2,0.9,0.2,9.4,16,16,1e-06
"Bhadradri Kothagudem","lscs",1.7,0.5,16.9,1.8,0.4,18.1,16,16,0.163876
"Bhadradri Kothagudem","sob",0,0,0,0,0,0,15,15,NA
"Bhadradri Kothagudem","tb",1.8,0.4,17.6,1.9,0.2,19.4,17,17,0.187628
"Hyderabad","epi",0,0,0,0,0,0,55,55,NA
"Hyderabad","hrt",0.6,0.5,6,0.8,0.4,8.1,52,52,0.001598
"Hyderabad","jau",0.5,0.5,5.3,0.9,0.2,9.5,55,55,0
"Hyderabad","lscs",1.8,0.5,18.2,1.9,0.3,19.2,49,49,0.023744
"Hyderabad","sob",0,0,0,0,0,0,47,47,NA
"Hyderabad","tb",1.7,0.5,16.7,1.8,0.5,18,55,55,0.033518
"Jagtial","epi",0,0,0,0,0,0,19,19,NA
"Jagtial","hrt",0.3,0.5,3.3,0.9,0.4,8.7,15,15,0.001316
"Jagtial","jau",0.3,0.5,2.9,0.9,0.2,9.4,17,17,5.7e-05
"Jagtial","lscs",1.6,0.6,16.1,1.9,0.3,18.9,18,18,0.096161
"Jagtial","sob",0,0,0,0,0,0,17,17,NA
"Jagtial","tb",1.8,0.4,17.5,2,0,20,16,16,NA
"Jayashankar Bhupalpally","epi",0,0,0,0,0,0,14,14,NA
